YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2030,13949.31142,51652.72853,36305.03688,12518.17084,44265.3278,15864.35569,70016.22955,12050.23535,15030.24178,4405.796131,3865.187118,13426.04259
2031,14458.6951,52161.13726,36713.90621,12681.28643,45022.66287,16155.10585,71377.44557,12178.91765,15311.80569,4500.050438,4061.070388,13535.00118
2032,14986.67982,52674.55016,37127.38025,12846.52747,45792.95517,16451.18467,72765.12557,12308.97412,15598.64418,4596.321151,4266.880798,13644.84402
2033,15533.94483,53193.0165,37545.51086,13013.92166,46576.4264,16752.6898,74179.78408,12440.41944,15890.85606,4694.651408,4483.121444,13755.57829
2034,16101.19419,53716.58601,37968.35048,13183.49704,47373.30202,17059.72069,75621.94557,12573.26845,16188.54199,4795.085269,4710.32092,13867.21122
2035,16689.15765,54245.30893,38395.95214,13355.28203,48183.81139,17372.37861,77092.14475,12707.53612,16491.80452,4897.667737,4949.034605,13979.7501
2036,17298.59164,54779.23597,38828.36947,13529.30544,49008.18775,17690.7667,78590.92672,12843.23761,16800.74812,5002.444777,5199.846028,14093.20229
2037,17930.28019,55318.41836,39265.65671,13705.59643,49846.66836,18014.98997,80118.84715,12980.38824,17115.4792,5109.463339,5463.368287,14207.57519
2038,18585.03595,55862.90783,39707.86871,13884.18454,50699.49453,18345.15536,81676.47256,13119.00347,17436.10619,5218.771376,5740.245553,14322.87629
2039,19263.70128,56412.75661,40155.06092,14065.09971,51566.91169,18681.37179,83264.38044,13259.09895,17762.73954,5330.417867,6031.154643,14439.1131
2040,19967.14926,56968.01746,40607.28943,14248.37226,52449.16949,19023.75013,84883.15953,13400.69049,18095.49177,5444.45284,6336.806674,14556.29324
2041,20496.61339,57528.74364,41064.61097,14434.03291,53346.52182,19372.40333,86533.41,13543.79405,18434.47749,5506.482864,6594.580733,14674.42434
2042,21040.1172,58094.98895,41527.08289,14622.11277,54259.22695,19727.4464,88215.74372,13688.42579,18779.81349,5569.219611,6862.840747,14793.51413
2043,21598.03297,58666.80772,41994.76319,14812.64338,55187.54754,20088.99642,89930.78442,13834.60203,19131.61872,5632.671133,7142.013272,14913.57039
